name,repeat
claire_open_en,1
claire_open_fr,1
common-corpus_arabic-pd_ar,1
common-corpus_bnl-newspapers-1841-1879_fr,1
common-corpus_dutch-pd_nl,0.8
common-corpus_german-pd_de,0.4
common-corpus_german-science-pile_de,0.4
common-corpus_italian-pd_it,0.8
common-corpus_portuguese-pd_pt,0.8
common-corpus_spanish-pd-books_es,0.8
common-corpus_spanish-science-pile_es,0.8
common-pile_arxiv-abstracts_en,1
common-pile_arxiv-papers_en,1
common-pile_biodiversity-heritage-library_en,0.05
common-pile_caselaw-access-project_en,0.2
common-pile_doab_en,1
common-pile_foodista_en,1
common-pile_github-archive_en,1
common-pile_library-of-congress_en,0.05
common-pile_libretexts_en,1
common-pile_news_en,1
common-pile_oercommons_en,1
common-pile_peS2o_en,1
common-pile_pre-1929-books_en,0.3
common-pile_pressbooks_en,1
common-pile_public-domain-review_en,1
common-pile_pubmed_en,0.4
common-pile_python-enhancement-proposals_en,1
common-pile_regulations_en,1
common-pile_stackexchange_en,1
common-pile_ubuntu-irc_en,1
common-pile_youtube_en,0.4
croissant-aligned_aligned,1
culturax_ar,1
culturax_de,1
culturax_es,1
culturax_fr,1.5
culturax_it,1
culturax_nl,1
culturax_pt,1
dclm-dolmino_en,0.45
europarl_aligned,1
fineweb-edu_en,0.6
fineweb2_ca,0.036
fineweb2_regional,1
fineweb2_fr,1.5
gallica_monographies_fr,1
gallica_press_fr,1
gutenberg_fr,1
hplt2_fr,1.5
insee_fr,1.5
math-pile_math,2
megamath-web-filtered_math,0
opendata_fr,1.5
opene-edition_fr,1
parlement_fr,1.5
starcoder-data_code,1
theses_fr,1
wikimedia_nl,1
wikimedia-vikidia_ar,1
wikimedia-vikidia_de,1
wikimedia-vikidia_en,1.5
wikimedia-vikidia_es,1
wikimedia-vikidia_fr,1.5
wikimedia-vikidia_it,1
wikimedia-vikidia_pt,1
wikimedia-vikidia_ca,1
wikimedia-vikidia_regional,1
youtube_fr,1
hal-cea_fr,1
