name,repeat
croissant-aligned_aligned,1
europarl_aligned,1
common-corpus_arabic-pd_ar,0
culturax_ar,0.2
fineweb2_ar,0.2
wikimedia-vikidia_ar,1
common-corpus_catalan-pd_ca,0
fineweb2_ca,0.05
wikimedia-vikidia_ca,0.5
stack-edu_code,0
starcoder-data_code,1
starcoder_olmomix_code,0
common-corpus_german-pd_de,0
common-corpus_german-science-pile_de,0
common-corpus_open-science-pile_de,0
culturax_de,0.2
fineweb2_de,0.2
gutenberg_de,1
wikimedia-vikidia_de,1
claire_open_en,1
common-pile_arxiv-abstracts_en,1
common-pile_arxiv-papers_en,1
common-pile_biodiversity-heritage-library_en,0.05
common-pile_caselaw-access-project_en,0.2
common-pile_doab_en,1
common-pile_foodista_en,1
common-pile_github-archive_en,1
common-pile_library-of-congress_en,0.05
common-pile_libretexts_en,1
common-pile_news_en,1
common-pile_oercommons_en,1
common-pile_peS2o_en,1
common-pile_pre-1929-books_en,0.2
common-pile_pressbooks_en,1
common-pile_public-domain-review_en,1
common-pile_pubmed_en,0.2
common-pile_python-enhancement-proposals_en,1
common-pile_regulations_en,1
common-pile_stackexchange_en,1
common-pile_ubuntu-irc_en,1
common-pile_youtube_en,0.2
gutenberg_en,1
dclm-dolmino_en,0.5
fineweb-edu_en,0.66
open-code-reasoning_en,0
stack-math-qa-1600k_en,0
wikimedia-vikidia_en,1
common-corpus_spanish-pd-books_es,0
common-corpus_spanish-science-pile_es,0
culturax_es,0.2
fineweb2_es,0.2
gutenberg_es,1
wikimedia-vikidia_es,1
claire_open_fr,2
common-corpus_bnl-newspapers-1841-1879_fr,2
culturax_fr,1
fineweb2_fr,1
gallica_monographies_fr,1
gallica_press_fr,1
gutenberg_fr,2
hal-cea_fr,2
hplt2_fr,1
insee_fr,2
opendata_fr,2
opene-edition_fr,2
parlement_fr,2
theses_fr,2
wikimedia-vikidia_fr,1
youtube_fr,1
common-corpus_italian-pd_it,0
culturax_it,0.2
fineweb2_it,0.2
gutenberg_it,1
wikimedia-vikidia_it,1
finemath-filtered_3plus_math,0
infiwebmath-filtered_3plus_math,0
math-pile_math,1
megamath-web-filtered_math,0
europarl_multi,1
eurovoc_filtered_multi,1
common-corpus_dutch-pd_nl,0
culturax_nl,0.2
fineweb2_nl,0.2
gutenberg_nl,1
wikimedia_nl,1
common-corpus_portuguese-pd_pt,0
culturax_pt,0.2
fineweb2_pt,0.2
gutenberg_pt,1
wikimedia-vikidia_pt,1
fineweb2_regional,1
wikimedia-vikidia_regional,1
