name,total_tokens,total_sequences,min_tokens,max_tokens,mean_tokens,Q1_tokens,Q2_tokens,Q3_tokens,dataset,subset,language
croissant-aligned_aligned,23794614949,408028865,7,11966,58.316008964218746,31.0,50.0,75.0,croissant-aligned,,aligned
europarl_aligned,883128779,11600886,14,4549,76.12597684349282,49.0,68.0,94.0,europarl,,aligned
paradocs_en-de_aligned,1971477729,6594766,15,303363,298.94581991233656,79.0,152.0,324.0,paradocs,en-de,aligned
paradocs_en-es_aligned,1932834960,29356548,9,15914,65.83999453886744,33.0,50.0,77.0,paradocs,en-es,aligned
paradocs_en-fr_aligned,1632852816,23797815,11,14185,68.6135603625795,35.0,53.0,79.0,paradocs,en-fr,aligned
paradocs_en-it_aligned,559085846,8630902,9,14253,64.77722096717122,32.0,48.0,72.0,paradocs,en-it,aligned
paradocs_en-nl_aligned,671780446,12725471,11,4602,52.79022253871782,29.0,42.0,62.0,paradocs,en-nl,aligned
paradocs_en-pt_aligned,692349399,10743790,9,15766,64.44182164766809,30.0,47.0,71.0,paradocs,en-pt,aligned
aya_dataset_ar,1071922,4995,5,7799,214.598998998999,31.0,74.0,170.0,aya,dataset,ar
common-corpus_arabic-pd_ar,86530414,6678,92,25192,12957.534291704103,11173.0,13023.0,14709.75,common-corpus,arabic-pd,ar
culturax_ar,32143916109,43308343,14,152250,742.2107123562774,233.0,435.0,813.0,culturax,,ar
fineweb2_ar,27446977551,40793151,52,665699,672.8329849047454,202.0,363.0,705.0,fineweb2,,ar
fineweb2_edu3+_ar,17381863595,23877412,52,664686,727.9626282362594,222.0,392.0,743.0,fineweb2,edu3+,ar
fineweb2_edu4_ar,1417830450,1584128,55,195922,895.0226559974951,368.0,635.0,1091.0,fineweb2,edu4,ar
fineweb2_hq_ar,3217481910,3614737,53,666941,890.1012466467132,162.0,292.0,783.0,fineweb2,hq,ar
wikimedia-vikidia_ar,1087291355,1460875,5,1215892,744.274051510225,143.0,260.0,537.0,wikimedia-vikidia,,ar
common-corpus_catalan-pd_ca,20314395,1601,301,25083,12688.566520924422,11861.0,13167.0,14396.0,common-corpus,catalan-pd,ca
fineweb2_ca,7579985346,10717906,61,181976,707.2263318972941,247.0,443.0,805.0,fineweb2,,ca
wikimedia-vikidia_ca,1198696070,1445504,11,419282,829.2582172031347,103.0,239.0,767.0,wikimedia-vikidia,,ca
nemotron-posttraining-code_code,258383110,175000,64,27187,1476.4749142857142,1056.0,1388.0,1789.0,nemotron-posttraining-code,,code
stack-edu_code,171219340635,167063292,2,8893678,1024.8770905041185,216.0,442.0,940.0,stack-edu,,code
starcoder_olmomix_code,96926561436,78686430,40,921647,1231.8078407674614,280.0,549.0,1230.0,starcoder,olmomix,code
starcoder-data_code,257731768679,206642239,2,10467314,1247.2366246428446,170.0,408.0,1011.0,starcoder-data,,code
aya_dataset_de,29906,241,17,1743,124.09128630705395,43.0,73.0,140.0,aya,dataset,de
common-corpus_german-pd_de,44472676078,3570935,78,72441,12454.070454376795,11304.0,12770.0,14029.0,common-corpus,german-pd,de
common-corpus_german-science-pile_de,4960175358,561347,68,64485,8836.201775372452,2865.0,10377.0,13745.0,common-corpus,german-science-pile,de
common-corpus_open-science-pile_de,5587922989,727925,75,48646,7676.509240649792,4356.0,8140.0,10974.0,common-corpus,open-science-pile,de
culturax_de,221489345152,282481063,14,88783,784.0856402894519,211.0,444.0,881.0,culturax,,de
fineweb2_de,222608846511,321950063,52,382411,691.4390524936782,207.0,395.0,756.0,fineweb2,,de
fineweb2_edu3+_de,82070977083,94664088,56,267633,866.9705568071389,292.0,525.0,941.0,fineweb2,edu3+,de
fineweb2_edu4_de,1538212294,1689344,60,138492,910.5382290403849,347.0,615.0,1073.0,fineweb2,edu4,de
fineweb2_hq_de,24306006333,29103701,55,237366,835.1517332108381,188.0,386.0,879.0,fineweb2,hq,de
gutenberg_de,173384308,1777,6,2131750,97571.36072031513,36182.0,68185.0,120151.0,gutenberg,,de
