name,repeat
claire_open_en,.5
claire_open_fr,1
common-corpus_eurlex_multi,.5
common-corpus_gatt-library_multi,.5
common-corpus_oecd_multi,.5
common-corpus_tedeutenders_multi,.5
common-corpus_wto_multi,.5
common-pile_arxiv-papers_en,0.25
common-pile_data-provenance-initiative_en,1
common-pile_doab_en,1
common-pile_foodista_en,1
common-pile_github-archive_en,1
common-pile_libretexts_en,1
common-pile_oercommons_en,1
common-pile_peS2o_en,0.05
common-pile_pressbooks_en,1
common-pile_stackexchange_en,0.125
common-pile_news_en,1
common-pile_public-domain-review_en,1
common-pile_python-enhancement-proposals_en,1
croissant-aligned_aligned,1
culturax_ar,0
culturax_de,0
culturax_es,0
culturax_fr,0.7
culturax_it,0
culturax_nl,0
culturax_pt,0
dclm-dolmino_en,0.30
europarl_aligned,.5
europarl_multi,.5
eurovoc_filtered_multi,.5
finemath-filtered_3plus_math,1
fineweb-edu_en,0.30
fineweb2_ca,0.02
fineweb2_fr,0.3
fineweb2_edu3+_fr,1
fineweb2_edu3+_ar,0.25
fineweb2_edu3+_de,0.25
fineweb2_edu3+_it,0.25
fineweb2_edu3+_nl,0.25
fineweb2_edu3+_pt,0.25
fineweb2_edu3+_es,0.25
fineweb2_hq_ar,1
fineweb2_hq_de,1
fineweb2_hq_es,1
fineweb2_hq_fr,1
fineweb2_hq_it,1
fineweb2_hq_nl,1
fineweb2_hq_pt,1
fineweb2_regional,1.
gutenberg_de,.5
gutenberg_en,.5
gutenberg_es,.5
gutenberg_fr,1.
gutenberg_it,.5
gutenberg_nl,.5
gutenberg_pt,.5
hal-cea_full-filtered_fr,1
hplt2_fr,0.7
infiwebmath-filtered_3plus_math,1
insee_fr,1
math-pile_math,0
megamath-web-filtered_math,0.65
nemotron-posttraining-chat_en,0
nemotron-posttraining-code_code,0
nemotron-posttraining-de-think_de,0
nemotron-posttraining-de_de,1
nemotron-posttraining-es-think_es,0
nemotron-posttraining-es_es,1
nemotron-posttraining-fr-think_fr,0
nemotron-posttraining-fr_fr,1
nemotron-posttraining-it-think_it,0
nemotron-posttraining-it_it,1
nemotron-posttraining-math_math,0
nemotron-posttraining-stem_en,0
open-code-reasoning_en,0
opendata_fr,1
opene-edition_fr,0
parlement_fr,1
stack-edu_code,.6
stack-math-qa-1600k_en,0
starcoder-data_code,0
starcoder_olmomix_code,0.5
synthetic-fineweb_extract-knowledge-easy_fr,0
synthetic-fineweb_extract-knowledge-hard_fr,1
synthetic-fineweb_extract-knowledge-medium_fr,1
theses_fr,0
wikimedia-vikidia_ar,1
wikimedia-vikidia_ca,0.2
wikimedia-vikidia_de,1
wikimedia-vikidia_en,1
wikimedia-vikidia_es,1
wikimedia-vikidia_fr,1
wikimedia-vikidia_it,1
wikimedia-vikidia_pt,1
wikimedia-vikidia_regional,1
wikimedia_nl,1
wikipedia-synthetic-qa_fr,0
youtube_fr,0
