tokenizer,vocabulary size (tokens),language,dataset,fertility,average token length,processing time,# characters,# words,# tokens
128k-arab,32000,Arabic,Wikipedia.ar,1.744,3.466,1377.6541657447815,1655638539,273803280,477639952
128k-arab,32000,Basque,eus,2.802,2.781,2086.619371652603,3896094623,499999531,1400877908
128k-arab,32000,Code,c++,3.522,3.151,414.4731698036194,554859434,49992022,176094289
128k-arab,32000,Code,javascript,5.754,2.813,632.727032661438,809294040,49999987,287680524
128k-arab,32000,Code,python,3.336,3.543,397.5449798107147,590864751,49999990,166790033
128k-arab,32000,Code,tex,3.566,2.72,386.796222448349,484856401,49995100,178264853
128k-arab,32000,English,Europarl.en,1.188,5.071,205.3713698387146,339370705,56334280,66919480
128k-arab,32000,English,Wikipedia.en,1.663,3.311,1947.5530462265008,2753108852,499999890,831566856
128k-arab,32000,French,Europarl.fr,1.227,5.221,261.44796657562256,338630065,52845204,64863037
128k-arab,32000,French,Wikipedia.fr,1.697,3.327,2019.1134662628167,2823112420,499999927,848493485
128k-arab,32000,German,Europarl.de,1.588,4.564,252.732369184494,326931605,45108933,71632227
128k-arab,32000,German,Wikipedia.de,2.02,3.246,2227.9010784626007,3278956474,499999919,1010029256
128k-arab,32000,Italian,Wikipedia.it,1.81,3.151,2029.0735685825348,2851639813,499999419,905101290
128k-arab,32000,Spanish,Europarl.es,1.345,4.607,252.858289718628,324518110,52369273,70436551
128k-arab,32000,Spanish,Wikipedia.es,1.68,3.469,1945.310277223587,2912972152,499999897,839812284
128k-arab-regional,32000,Arabic,Wikipedia.ar,1.718,3.52,1212.7952399253843,1655638539,273803280,470415399
128k-arab-regional,32000,Basque,eus,2.215,3.518,2036.8031907081604,3896094623,499999531,1107453013
128k-arab-regional,32000,Code,c++,3.5,3.171,376.05276346206665,554859434,49992022,174954117
128k-arab-regional,32000,Code,javascript,5.706,2.837,591.1793456077576,809294040,49999987,285303278
128k-arab-regional,32000,Code,python,3.311,3.569,357.07668590545654,590864751,49999990,165564585
128k-arab-regional,32000,Code,tex,3.531,2.747,357.5957307815552,484856401,49995100,176532188
128k-arab-regional,32000,English,Europarl.en,1.199,5.023,189.6345362663269,339370705,56334280,67568873
128k-arab-regional,32000,English,Wikipedia.en,1.681,3.275,1767.6279220581057,2753108852,499999890,840638347
128k-arab-regional,32000,French,Europarl.fr,1.251,5.123,238.740216255188,338630065,52845204,66104555
128k-arab-regional,32000,French,Wikipedia.fr,1.726,3.271,1840.22780752182,2823112420,499999927,863071317
128k-arab-regional,32000,German,Europarl.de,1.552,4.669,230.6432945728302,326931605,45108933,70015185
128k-arab-regional,32000,German,Wikipedia.de,2.003,3.275,2028.2357561588287,3278956474,499999919,1001262117
128k-arab-regional,32000,Italian,Wikipedia.it,1.8,3.169,1845.9172656536105,2851639813,499999419,899829810
128k-arab-regional,32000,Spanish,Europarl.es,1.323,4.685,233.9139919281006,324518110,52369273,69262947
128k-arab-regional,32000,Spanish,Wikipedia.es,1.669,3.492,1770.5357329845428,2912972152,499999897,834252748
65k,32000,Arabic,Wikipedia.ar,5.557,1.088,1546.2156822681427,1655638539,273803280,1521422588
65k,32000,Basque,eus,2.915,2.674,2008.1652958393097,3896094623,499999531,1457261820
65k,32000,Code,c++,3.593,3.089,402.629435300827,554859434,49992022,179642065
65k,32000,Code,javascript,5.889,2.748,596.4904155731201,809294040,49999987,294459473
65k,32000,Code,python,3.408,3.468,385.9723780155182,590864751,49999990,170384234
65k,32000,Code,tex,3.689,2.629,365.64166021347046,484856401,49995100,184423270
65k,32000,English,Europarl.en,1.228,4.907,203.35975551605225,339370705,56334280,69165004
65k,32000,English,Wikipedia.en,1.732,3.179,1866.665088891983,2753108852,499999890,866076677
65k,32000,French,Europarl.fr,1.294,4.951,261.34140610694885,338630065,52845204,68397409
65k,32000,French,Wikipedia.fr,1.787,3.159,1923.9293615818024,2823112420,499999927,893662108
65k,32000,German,Europarl.de,1.665,4.354,258.060332775116,326931605,45108933,75087527
65k,32000,German,Wikipedia.de,2.104,3.116,2114.3799965381622,3278956474,499999919,1052155692
65k,32000,Italian,Wikipedia.it,1.877,3.039,1925.952538490296,2851639813,499999419,938417262
65k,32000,Spanish,Europarl.es,1.394,4.445,243.0106852054596,324518110,52369273,73000130
65k,32000,Spanish,Wikipedia.es,1.746,3.336,1851.0723631381989,2912972152,499999897,873184801
65k-arab,32000,Arabic,Wikipedia.ar,1.899,3.185,1319.8076257705688,1655638539,273803280,519830660
