training_steps,training_tokens,training_loss,walltime,gputime,learning_rate
1265,5305794560,6.465428600311279,540.4480302333832,138354.6957397461,0.0001896551693789661
3255,13652459520,3.82938045501709,1395.3682935237885,357214.28314208984,0.0003000000142492354
4390,18412994560,3.182524766921997,1893.8293015956879,484820.3012084961,0.0003000000142492354
6695,28080865280,2.975801067352295,2876.3496470451355,736345.5096435547,0.0003000000142492354
8455,35462840320,2.810102033615112,3652.649699449539,935078.323059082,0.0003000000142492354
10620,44543508480,2.7237127780914308,4634.893196821213,1186532.6583862305,0.0003000000142492354
12930,54232350720,2.64554575920105,5644.2243111133575,1444921.4236450195,0.0003000000142492354
14675,61551411200,2.605780448913574,6368.854075670242,1630426.643371582,0.0003000000142492354
16855,70694993920,2.561097192764282,7263.754259347916,1859521.0903930664,0.0003000000142492354
18320,76839649280,2.5302291107177735,7941.332848072052,2032981.2091064453,0.0003000000142492354
19660,82460016640,2.518380489349365,8536.792649030685,2185418.9181518555,0.0003000000142492354
21265,89191874560,2.5022436141967774,9222.322661876678,2360914.6014404297,0.0003000000142492354
23060,96720650240,2.4803824615478516,10069.032336473465,2577672.278137207,0.0003000000142492354
24975,104752742400,2.464562931060791,10971.006916761398,2808577.770690918,0.0003000000142492354
27195,114064097280,2.4483673191070556,11958.117899894714,3061278.182373047,0.0003000000142492354
28775,120691097600,2.43978102684021,12635.690187215805,3234736.687927246,0.0003000000142492354
30020,125913006080,2.4266975784301756,13166.042087078094,3370506.774291992,0.0003000000142492354
31675,132854579200,2.4241744804382326,13860.959688425064,3548405.6802368164,0.0003000000142492354
33660,141180272640,2.4102925205230714,14779.235637187958,3783484.323120117,0.0003000000142492354
36081,151334682624,2.403546838760376,16491.61464881897,4221853.350097656,0.0003000000142492354
37926,159073173504,2.3889238357543947,18333.981563568115,4693499.2802734375,0.0003000000142492354
39906,167377895424,2.3886548137664794,20031.1024684906,5127962.231933594,0.0003000000142492354
41711,174948614144,2.3753888607025146,21827.084810256958,5587733.711425781,0.0003000000142492354
43092,180740947968,2.3751088778177896,22621.380553007126,5791073.421569824,0.0003000000142492354
45152,189381214208,2.368516511917114,23914.0799639225,6122004.47076416,0.0003000000142492354
47477,199132971008,2.359924039840698,25523.577580213547,6534035.860534668,0.0003000000142492354
49222,206452031488,2.35662691116333,26738.31502890587,6845008.647399902,0.0003000000142492354
50937,213645262848,2.3486970043182374,28087.61449074745,7190429.309631348,0.0003000000142492354
52737,221195010048,2.3429913902282715,29343.727826833725,7511994.323669434,0.0003000000142492354
54667,229290016768,2.3420530414581298,30708.853577136993,7861466.51574707,0.0003000000142492354
56112,235350786048,2.3441300106048586,31648.27597951889,8101958.650756836,0.0003000000142492354
58252,244326596608,2.332324981689453,33396.77086806297,8549573.342224121,0.0003000000142492354
59857,251058454528,2.329068832397461,34376.37104725838,8800350.988098145,0.0003000000142492354
61392,257496711168,2.3279238414764403,35478.220668792725,9082424.491210938,0.0003000000142492354
63212,265130344448,2.3255049896240236,36744.15958619118,9406504.854064941,0.0003000000142492354
65177,273372151808,2.327394847869873,38339.004784584045,9814785.224853516,0.0003000000142492354
66962,280858984448,2.3180792999267577,39489.98046016693,10109434.997802734,0.0003000000142492354
69107,289855766528,2.311202621459961,40883.72546887398,10466233.720031738,0.0003000000142492354
71097,298202431488,2.313365869522095,42252.6600382328,10816680.969787598,0.0003000000142492354
73102,306612011008,2.308373212814331,43684.28518509865,11183177.007385254,0.0003000000142492354
74522,312567922688,2.310056505203247,44733.37353682518,11451743.625427246,0.0003000000142492354
76802,322130935808,2.3007737731933595,46540.1588807106,11914280.673461914,0.0003000000142492354
78887,330876059648,2.3041574573516845,48205.023109674454,12340485.91607666,0.0003000000142492354
80562,337901518848,2.301863069534302,49234.856707811356,12604123.317199707,0.0003000000142492354
82492,345996525568,2.3013345909118654,50701.52773118019,12979591.099182129,0.0003000000142492354
83912,351952437248,2.2964205932617188,51695.42193388939,13234028.015075684,0.0003000000142492354
85412,358243893248,2.297154302597046,52829.15173268318,13524262.843566895,0.0003000000142492354
87482,366926102528,2.290277433395386,54256.613090991974,13889692.951293945,0.0003000000142492354
89372,374853337088,2.3407468509674074,55560.65480804443,14223527.630859375,0.0003000000142492354
91007,381711024128,2.2891069221496583,56933.41270542145,14574953.65258789,0.0003000000142492354
93177,390812663808,2.2886190032958984,58647.76357269287,15013827.474609375,0.0003000000142492354
94992,398425325568,2.283419609069824,60028.26189494133,15367235.04510498,0.0003000000142492354
97367,408386797568,2.2862363243103028,61568.702460289,15761587.829833984,0.0003000000142492354
98702,413986193408,2.280220489501953,62732.37004137039,16059486.73059082,0.0003000000142492354
100112,419900162048,2.2757880210876467,63859.959637880325,16348149.667297363,0.0003000000142492354
101662,426401333248,2.278047790527344,64788.51842021942,16585860.715576172,0.0003000000142492354
103602,434538283008,2.2798214817047118,66187.78514361382,16944072.996765137,0.0003000000142492354
105602,442926891008,2.275677089691162,67771.1592195034,17349416.76019287,0.0003000000142492354
107317,450120122368,2.277452840805054,69027.7511332035,17671104.290100098,0.0003000000142492354
108552,455300087808,2.28296706199646,69798.20046877861,17868339.320007324,0.0003000000142492354
110337,462786920448,2.2704765892028806,71092.74575805664,18199742.9140625,0.0003000000142492354
111672,468386316288,2.272538871765137,72045.77745175362,18443719.027648926,0.0003000000142492354
112862,473377538048,2.27315242767334,72868.74076461792,18654397.635742188,0.0003000000142492354
114062,478410702848,2.2664946269989015,73696.96841573715,18866423.91442871,0.0003000000142492354
115827,485813649408,2.2677305793762206,75087.65693759918,19222440.17602539,0.0003000000142492354
118142,495523463168,2.2677643871307374,76726.87826013565,19642080.834594727,0.0003000000142492354
121618,510102863872,2.2668714848431675,78251.02180194855,20032261.581298828,0.0003000000142492354
122983,515828088832,2.2704881858825683,78879.6627767086,20193193.670837402,0.0003000000142492354
124613,522664804352,2.337753372192383,79693.99948191643,20401663.867370605,0.0003000000142492354
127613,535247716352,2.260046901702881,81091.77008342743,20759493.141357422,0.0003000000142492354
129538,543321751552,2.260201959609985,82020.56471419334,20997264.566833496,0.0003000000142492354
131303,550724698112,2.2586923027038575,82837.77414631844,21206470.18145752,0.0003000000142492354
132988,557792100352,2.2572757720947267,83612.63975572586,21404835.77746582,0.0003000000142492354
134898,565803220992,2.258237152099609,84518.5413749218,21636746.59197998,0.0003000000142492354
136308,571717189632,2.2739326572418213,85132.61724305153,21793950.01422119,0.0003000000142492354
137803,577987674112,2.254041395187378,85875.2988345623,21984076.50164795,0.0003000000142492354
139763,586208509952,2.2580802154541018,86743.61527752876,22206365.511047363,0.0003000000142492354
141283,592583852032,2.2556767654418945,87460.19104909897,22389808.908569336,0.0003000000142492354
143578,602209779712,2.2515635967254637,88470.56882572174,22648465.619384766,0.0003000000142492354
145063,608438321152,2.2541176795959474,89176.61712837219,22829213.98486328,0.0003000000142492354
147158,617225388032,2.2514667987823485,90181.72580313683,23086521.805603027,0.0003000000142492354
148728,623810445312,2.2488343620300295,90925.20633530617,23276852.82183838,0.0003000000142492354
150683,632010309632,2.2541866207122805,91834.19750642776,23509554.561645508,0.0003000000142492354
152263,638637309952,2.2518045616149904,92550.11874985695,23692830.39996338,0.0003000000142492354
154138,646501629952,2.251331615447998,93449.19558954239,23922994.07092285,0.0003000000142492354
156693,657218076672,2.248482904434204,94651.84852075577,24230873.221313477,0.0003000000142492354
158098,663111073792,2.248287515640259,95293.49694919586,24395135.21899414,0.0003000000142492354
159893,670639849472,2.2429542350769043,96092.15574097633,24599591.86968994,0.0003000000142492354
161668,678084739072,2.2439047622680666,96906.68583226204,24808111.573059082,0.0003000000142492354
163208,684543967232,2.241104154586792,97635.62472653389,24994719.929992676,0.0003000000142492354
164843,691401654272,2.240164947509766,98429.95104384422,25198067.46722412,0.0003000000142492354
167083,700796895232,2.2438285732269287,99535.88884544373,25481187.544433594,0.0003000000142492354
168513,706794749952,2.2467024517059326,100224.56843924522,25657489.520446777,0.0003000000142492354
171453,719126003712,2.2424407768249512,101717.66445827484,26039722.10131836,0.0003000000142492354
173433,727430725632,2.242832899093628,102597.8366549015,26265046.183654785,0.0003000000142492354
175608,736553336832,2.2461305904388427,103655.41902017593,26535787.26916504,0.0003000000142492354
177448,744270856192,2.2395535373687743,104484.02460408211,26747910.29864502,0.0003000000142492354
178958,750604255232,2.2376348972320557,105195.11853170395,26929950.34411621,0.0003000000142492354
180793,758300803072,2.2373849296569825,106042.56030869484,27146895.43902588,0.0003000000142492354
182783,766647468032,2.2426952266693116,106948.07768774033,27378707.888061523,0.0003000000142492354
184603,774281101312,2.2408459854125975,107821.84893798828,27602393.328125,0.0003000000142492354
185788,779251351552,2.2357861232757568,108357.13065218925,27739425.44696045,0.0003000000142492354
187453,786234867712,2.2396538162231447,109143.85707688332,27940827.41168213,0.0003000000142492354
189088,793092554752,2.2360408210754397,109971.36908841133,28152670.4866333,0.0003000000142492354
190783,800201900032,2.238041410446167,110743.19171261787,28350257.078430176,0.0003000000142492354
192338,806724042752,2.235172758102417,111454.47812509537,28532346.400024414,0.0003000000142492354
193948,813476872192,2.2350612258911133,112225.06506514549,28729616.656677246,0.0003000000142492354
195313,819202097152,2.2348630142211916,112868.70058965683,28894387.35095215,0.0003000000142492354
196763,825283837952,2.235956039428711,113546.95520949364,29068020.53363037,0.0003000000142492354
